id,cltv
89393,93272.91673706942
89394,127844.03343302716
89395,96012.41812513632
89396,89947.64219356804
89397,136111.48695638424
89398,109172.22164652008
89399,51121.15129713875
89400,108220.7493290393
89401,47669.643446264265
89402,156016.2706767899
89403,158203.9724917433
89404,87525.82083603593
89405,47079.31884370026
89406,51304.312207008334
89407,59861.380109343154
89408,142411.75008083816
89409,122843.25502207925
89410,132580.8950290663
89411,122753.52840772258
89412,139921.31708573023
89413,139040.0534186783
89414,49218.55243938371
89415,52172.005993782885
89416,113727.53250802285
89417,142591.64745570044
89418,102407.83199783028
89419,55802.89564736397
89420,130297.83458094107
89421,137710.6687975693
89422,117341.99813884846
89423,145422.8875510046
89424,49450.51170707762
89425,110078.13149249482
89426,126734.72773377078
89427,104012.53109024151
89428,115977.24261414893
89429,97101.61997316928
89430,53247.842544729065
89431,127756.48132092107
89432,120767.85602305163
89433,53228.496038909514
89434,52707.34948270064
89435,46457.641329016675
89436,106386.46381896705
89437,55794.234490103794
89438,140566.26315891574
89439,49369.10857916727
89440,133602.99243309983
89441,139051.6406006706
89442,63922.43683953237
89443,110550.77225328112
89444,65075.584069200195
89445,110773.1384618762
89446,95256.15338674391
89447,126034.26252069318
89448,140002.08931474813
89449,140907.35771930267
89450,132462.01613064247
89451,119197.71794041574
89452,130026.51930377334
89453,124289.2292307962
89454,138499.85090277734
89455,112879.16327920981
89456,132469.55558144
89457,106778.89824964646
89458,136279.80667997192
89459,115427.9575711072
89460,132191.7803805728
89461,111719.0570210686
89462,94755.45269559097
89463,108842.91278173611
89464,158821.71668897857
89465,139995.32137529674
89466,48456.053716028495
89467,127955.28801346346
89468,51286.77414586682
89469,103013.09141986555
89470,50975.02512075733
89471,146939.66755091
89472,122975.47745992754
89473,131945.880624473
89474,124100.13142412453
89475,112586.87815375971
89476,154503.47459513447
89477,54058.94739879946
89478,135981.5571288342
89479,128367.70988405506
89480,100301.80110784378
89481,50901.88457040703
89482,50554.76609279921
89483,110208.80926217482
89484,50045.069595193236
89485,123135.54527510096
89486,127712.37460808379
